season,episode_num,title,imdb_rating,total_votes,us_viewers,original_air_date,directed_by,written_by
4,11,Frozen,9.2,3296,29040000,3 Feb. 2008,David Straiton,Liz Friedman
3,12,"One Day, One Room",9.1,4974,27340000,30 Jan. 2007,Juan J. Campanella,David Shore
3,14,Insensitive,8.8,2588,25990000,13 Feb. 2007,Deran Sarafian,Matthew V. Lewis
2,24,No Reason,9.5,4835,25470000,23-May-06,David Shore,Story by: Lawrence Kaplow & David ShoreTeleplay by: David Shore
3,13,Needle in a Haystack,8,2266,24880000,6 Feb. 2007,Peter O'Fallon,David Foster
2,19,House vs. God,8.6,2680,24520000,25 Apr. 2006,John F. Showalter,Doris Egan
3,15,Half-Wit,9.1,3218,24400000,6 Mar. 2007,Katie Jacobs,Lawrence Kaplow
2,22,Forever,8.1,2305,24290000,9-May-06,Daniel Sackheim,Liz Friedman
4,12,Don't Ever Change,8.1,2201,23150000,5 Feb. 2008,Deran Sarafian,Doris Egan & Leonard Dick
2,20,Euphoria: Part 1,9.1,3311,22710000,2-May-06,Deran Sarafian,Matthew V. Lewis
